原点(経度),原点(緯度),メッシュあたり導入P_MJ/y
135.5836608,34.70680839,308865.7898
135.5863905,34.70681767,4256626.989
135.5891201,34.70682688,7078745.887
135.5918498,34.70683603,7541416.01
135.5945794,34.70684512,3791025.743
135.5973091,34.70685414,8437609.921
135.6000388,34.70686311,157269.2499
135.4308171,34.70393834,3919729.632
135.4335465,34.70395104,7393847.052
135.436276,34.70396368,2097741.747
135.4390055,34.70397625,8862710.259
135.4417349,34.70398876,14947301.33
135.4444644,34.7040012,16558839.62
135.4471939,34.70401358,14561082.62
135.4499234,34.7040259,15077561.49
135.4526528,34.70403815,8983829.744
135.4553823,34.70405034,12982831.23
135.4581118,34.70406247,12496708.28
135.4608413,34.70407453,16549094.98
135.4635709,34.70408653,15081169.75
135.4663004,34.70409846,15769061.1
135.46903,34.70411033,14191428.09
135.4717595,34.70412214,3278599.164
135.4826777,34.70416882,1191144.034
135.4854073,34.70418034,13710633.66
135.4881368,34.70419181,19951032.66
135.4908664,34.70420323,12364624.49
135.4935959,34.70421458,14414134.1
135.4963255,34.70422588,19958761.83
135.4990551,34.70423712,14786355.17
135.5017846,34.70424831,12304368.38
135.5045142,34.70425945,6482653.843
135.5072438,34.70427053,3256680.5
135.5099734,34.70428155,2403721.052
135.5127029,34.70429251,2395390.411
135.5154325,34.70430339,2735012.072
135.5181621,34.70431421,2676861.622
135.5208917,34.70432497,1138843.247
135.5236213,34.70433567,2695800.129
135.526351,34.70434627,2232831.155
135.5290806,34.70435678,2000240.842
135.5318102,34.70436723,1487028.448
135.5345398,34.70437762,1125486.878
135.5372694,34.70438795,416982.1395
135.539999,34.70439824,301762.792
135.5427285,34.70440848,236503.0426
135.5454581,34.70441865,88519.96881
135.5481877,34.70442877,85353.35271
135.5509172,34.70443882,51479.91815
135.5536468,34.70444881,49476.21918
135.5563764,34.70445874,45410.93044
135.5591059,34.7044686,10559.39733
135.5618355,34.70447841,325.7191501
135.5645651,34.70448816,37610.39462
135.5672947,34.70449784,65851.54009
135.5700242,34.70450747,-30332.18007
135.5727538,34.70451703,-3328.627747
135.5754834,34.70452654,85886.55887
135.578213,34.70453599,353528.9388
135.5809426,34.70454539,403117.3541
135.5836722,34.70455472,2420650.826
135.5864017,34.704564,4337915.714
135.5891313,34.70457321,5614840.972
135.5918609,34.70458236,7223644.767
135.5945905,34.70459144,3337233.135
135.5973201,34.70460047,9197658.612
135.6000496,34.70460943,86098.66812
135.4226443,34.70164622,238522.337
