右上経度,右上緯度,左下経度,左下緯度,メッシュあたり導入P_MJ/y
135.4922,34.7166,135.4894,34.7143,2852777.912
135.514,34.7167,135.5112,34.7144,7698.465188
135.5168,34.7167,135.514,34.7144,435830.0078
135.5195,34.7167,135.5167,34.7145,898166.1623
135.5222,34.7167,135.5194,34.7145,428943.4225
135.5249,34.7167,135.5222,34.7145,897236.533
135.5277,34.7167,135.5249,34.7145,1176964.995
135.5304,34.7168,135.5276,34.7145,1760364.382
135.5331,34.7168,135.5304,34.7145,1702883.95
135.5359,34.7168,135.5331,34.7145,1278890.867
135.5386,34.7168,135.5358,34.7145,1097637.96
135.5413,34.7168,135.5385,34.7145,1058493.373
135.5441,34.7168,135.5413,34.7146,1049996.095
135.5468,34.7168,135.544,34.7146,1678068.032
135.5495,34.7168,135.5467,34.7146,945423.2372
135.5522,34.7168,135.5495,34.7146,316438.1425
135.555,34.7168,135.5522,34.7146,345629.723
135.5577,34.7169,135.5549,34.7146,300208.8038
135.5604,34.7169,135.5577,34.7146,169546.762
135.5632,34.7169,135.5604,34.7146,165391.4825
135.5659,34.7169,135.5631,34.7146,140678.1033
135.5686,34.7169,135.5658,34.7146,112925.1107
135.5714,34.7169,135.5686,34.7146,12245.93014
135.585,34.7169,135.5822,34.7147,8651.326787
135.5877,34.717,135.585,34.7147,341547.3701
135.5905,34.717,135.5877,34.7147,1278060.141
135.4431,34.7141,135.4403,34.7119,666793.626
135.4458,34.7141,135.443,34.7119,5889683.989
135.4485,34.7142,135.4457,34.7119,15164184.01
135.4513,34.7142,135.4485,34.7119,16820537.89
135.454,34.7142,135.4512,34.7119,11006145.3
135.4567,34.7142,135.4539,34.7119,8203627.907
135.4594,34.7142,135.4567,34.712,16282724.83
135.4622,34.7142,135.4594,34.712,17350947.76
135.4649,34.7142,135.4621,34.712,14997514.38
135.4676,34.7142,135.4649,34.712,13569473.03
135.4704,34.7143,135.4676,34.712,12252883.85
135.4731,34.7143,135.4703,34.712,15042706.04
135.4758,34.7143,135.473,34.712,16993026.02
135.4785,34.7143,135.4758,34.712,14650616.37
135.4813,34.7143,135.4785,34.712,13034077.39
135.484,34.7143,135.4812,34.7121,14149301.98
135.4867,34.7143,135.484,34.7121,8465913.374
135.4895,34.7143,135.4867,34.7121,84008.09779
135.5004,34.7144,135.4976,34.7121,1866986.614
135.5031,34.7144,135.5003,34.7121,3824891.716
135.5058,34.7144,135.5031,34.7121,2447382.444
135.5086,34.7144,135.5058,34.7122,850564.2703
135.5113,34.7144,135.5085,34.7122,1416171.458
135.514,34.7144,135.5113,34.7122,1245201.852
135.5168,34.7144,135.514,34.7122,1162950.055
135.5195,34.7145,135.5167,34.7122,1133378.63
135.5222,34.7145,135.5195,34.7122,1321485.927
135.525,34.7145,135.5222,34.7122,337509.7385
135.5277,34.7145,135.5249,34.7122,1955081.682
135.5304,34.7145,135.5276,34.7122,2024948.939
135.5331,34.7145,135.5304,34.7123,1973710.613
135.5359,34.7145,135.5331,34.7123,1158025.478
135.5386,34.7145,135.5358,34.7123,1019027.352
135.5413,34.7145,135.5386,34.7123,964312.1749
135.5441,34.7145,135.5413,34.7123,1014990.634
